Row: 1, Pixel: B
Row: 2, Pixel: B
Row: 3, Pixel: B
Row: 4, Pixel: B
Row: 5, Pixel: B
Row: 6, Pixel: B
Row: 7, Pixel: B
Row: 8, Pixel: B
Row: 9, Pixel: B
Row: 10, Pixel: B
Row: 11, Pixel: B
Row: 12, Pixel: B
Row: 13, Pixel: B
Row: 14, Pixel: B
Row: 15, Pixel: B
Row: 16, Pixel: B
Row: 17, Pixel: B
Row: 18, Pixel: B
Row: 19, Pixel: B
Row: 20, Pixel: W
Row: 21, Pixel: W
Row: 22, Pixel: W
Row: 23, Pixel: W
Row: 24, Pixel: W
Row: 25, Pixel: W
Row: 26, Pixel: W
Row: 27, Pixel: W
Row: 28, Pixel: W
Row: 29, Pixel: W
Row: 30, Pixel: W
Row: 31, Pixel: W
Row: 32, Pixel: W
Row: 33, Pixel: W
Row: 34, Pixel: W
Row: 35, Pixel: W
Row: 36, Pixel: W
Row: 37, Pixel: W
Row: 38, Pixel: W
Row: 39, Pixel: W
Row: 40, Pixel: W
Row: 41, Pixel: B
Row: 42, Pixel: B
Row: 43, Pixel: B
Row: 44, Pixel: B
Row: 45, Pixel: B
Row: 46, Pixel: B
Row: 47, Pixel: B
Row: 48, Pixel: B
Row: 49, Pixel: B
Row: 50, Pixel: B
Row: 51, Pixel: B
Row: 52, Pixel: B
Row: 53, Pixel: B
Row: 54, Pixel: B
Row: 55, Pixel: B
Row: 56, Pixel: B
Row: 57, Pixel: B
Row: 58, Pixel: B
Row: 59, Pixel: B
Row: 60, Pixel: B
Row: 61, Pixel: B
Distance: 10, Pixels: 18
Distance: 20, Pixels: 39
Distance: 30, Pixels: 60
